,carat,cut,color,clarity,depth,table,price,x,y,z
840,0.96,Fair,F,SI2,68.2,61,2867,6.07,5.88,4.1
880,1,Fair,H,SI1,65.5,62,2873,6.14,6.07,4
881,0.9,Fair,I,SI1,65.7,58,2873,6.03,6,3.95
884,0.9,Fair,I,SI1,65.3,61,2873,5.98,5.94,3.89
885,0.9,Fair,I,SI1,65.8,56,2873,6.01,5.96,3.94
896,1,Fair,H,SI2,67.7,60,2875,6.11,5.98,4.09
898,1,Fair,J,VS1,65.5,55,2875,6.3,6.25,4.11
899,1,Fair,I,SI1,66.3,61,2875,6.08,6.03,4.01
900,1,Fair,H,SI2,69.5,55,2875,6.17,6.1,4.26
920,0.72,Fair,F,VS1,56.9,69,2879,5.93,5.77,3.33
930,0.88,Fair,F,SI1,56.6,65,2882,6.39,6.32,3.6
934,0.9,Fair,H,SI2,65,61,2883,6.01,5.96,3.89
935,1.03,Fair,I,SI2,65.3,55,2884,6.32,6.27,4.11
939,0.8,Fair,E,SI1,56.3,63,2885,6.22,6.14,3.48
940,0.9,Fair,D,SI2,66.9,57,2885,6.02,5.9,3.99
968,1.19,Fair,H,I1,65.1,59,2892,6.62,6.55,4.29
1020,0.71,Fair,E,VS2,64.6,59,2902,5.62,5.59,3.62
1097,1,Fair,H,SI2,65.2,54,2912,6.3,6.22,4.08
1098,1,Fair,I,SI1,66,56,2912,6.31,6.24,4.13
1099,1,Fair,H,SI2,67,55,2912,6.25,6.12,4.16
1141,0.9,Fair,I,VS2,64.1,66,2921,6.04,5.98,3.85
1184,0.9,Fair,E,SI2,65,58,2930,6.08,6.04,3.94
1200,1.17,Fair,I,I1,65.4,62,2935,6.68,6.57,4.33
1228,0.75,Fair,E,VS2,56,67,2940,6.18,6.08,3.43
1236,1.03,Fair,G,SI2,65.7,59,2942,6.3,6.24,4.12
1239,1.01,Fair,G,SI2,67.1,59,2942,6.27,6.19,4.18
1268,0.9,Fair,I,SI2,66.4,60,2948,5.92,5.86,3.91
1271,1,Fair,E,SI2,65.8,58,2948,6.28,6.16,4.09
1276,0.99,Fair,J,SI1,58,67,2949,6.57,6.5,3.79
1320,0.98,Fair,F,SI2,61.6,66,2958,6.46,6.24,3.92
1325,0.74,Fair,G,VVS2,65.2,58,2959,5.7,5.6,3.69
1356,0.7,Fair,E,VS1,64.5,57,2964,5.59,5.55,3.59
1358,0.9,Fair,F,SI2,65.7,59,2964,6.03,5.99,3.95
1360,0.9,Fair,J,VS1,65.4,60,2964,6.02,5.93,3.91
1362,1,Fair,G,SI1,65.7,54,2964,6.24,6.16,4.07
1363,1.5,Fair,H,I1,65.6,54,2964,7.26,7.09,4.7
1365,0.9,Fair,J,VS1,64.6,58,2964,6.12,6.06,3.93
1413,1.13,Fair,H,I1,64.8,59,2968,6.52,6.42,4.19
1424,0.91,Fair,F,SI1,64.9,57,2971,6.13,6.08,3.96
1439,1,Fair,D,SI2,69.3,58,2974,5.96,5.87,4.1
1470,0.9,Fair,E,SI2,65.8,59,2982,6.03,5.98,3.95
1499,1.06,Fair,J,SI2,61,66,2992,6.54,6.35,3.93
1507,1.01,Fair,G,SI1,65.1,57,2993,6.27,6.22,4.07
1516,0.91,Fair,F,SI2,65.3,51,2996,6.05,5.98,3.93
1524,1.01,Fair,J,VVS2,66,56,2998,6.29,6.22,4.13
1525,0.85,Fair,G,VS1,57.7,67,2998,6.26,6.19,3.59
1528,1.02,Fair,H,I1,61.5,60,2999,6.4,6.34,3.92
1553,0.73,Fair,F,VS1,58.6,66,3002,5.92,5.88,3.46
1555,1.01,Fair,D,SI2,64.6,56,3003,6.31,6.24,4.05
1598,1.2,Fair,J,I1,64.9,59,3011,6.61,6.54,4.27
1599,1.2,Fair,I,I1,62.2,66,3011,6.77,6.7,4.2
1600,1.2,Fair,I,I1,66.2,55,3011,6.61,6.51,4.34
1609,1,Fair,E,SI2,55.4,62,3011,6.63,6.59,3.66
1665,0.9,Fair,H,SI1,65.6,57,3024,6.04,6.01,3.95
1676,1.02,Fair,J,SI1,66.8,55,3027,6.25,6.18,4.15
1677,1,Fair,G,SI2,64.9,57,3027,6.29,6.2,4.05
1683,0.77,Fair,F,VS1,66.8,57,3031,5.66,5.76,3.82
1695,0.92,Fair,I,VS2,64.4,58,3033,6.13,6.1,3.94
1746,0.7,Fair,F,VS1,64.9,59,3039,5.56,5.59,3.62
1769,0.73,Fair,D,VS1,66,54,3047,5.56,5.66,3.7
1796,1.03,Fair,G,SI1,66.1,56,3052,6.26,6.2,4.12
1811,1.01,Fair,I,SI2,66.1,58,3054,6.21,6.04,4.05
1812,1.01,Fair,I,SI2,68.1,59,3054,6.14,6.11,4.17
1823,0.82,Fair,H,SI1,64.9,58,3057,5.82,5.77,3.76
1838,0.71,Fair,G,VVS1,62.8,57,3062,5.67,5.57,3.53
1841,0.9,Fair,F,SI2,65.7,63,3062,6.01,5.96,3.93
1883,0.9,Fair,I,VVS2,67,56,3074,5.91,5.83,3.93
1897,0.71,Fair,D,VS2,64.7,58,3077,5.61,5.58,3.62
1904,0.91,Fair,D,SI2,62.5,66,3079,6.08,6.01,3.78
1907,1,Fair,J,VS1,66.6,57,3080,6.07,6.03,4.03
1942,0.9,Fair,E,SI2,64.5,55,3084,6.12,6.03,3.92
1943,0.9,Fair,E,SI2,65.8,58,3084,6.02,5.98,3.95
1948,1.02,Fair,I,SI2,64.5,56,3084,6.28,6.25,4.04
2016,0.9,Fair,G,SI2,55.9,62,3104,6.35,6.42,3.57
2017,0.9,Fair,G,SI2,64.7,58,3104,5.94,6.03,3.87
2028,0.9,Fair,H,SI2,65.6,58,3105,6.05,5.95,3.95
2109,0.92,Fair,F,SI1,64.9,58,3117,6.1,6.04,3.94
2113,1.16,Fair,H,SI2,68.2,55,3118,6.47,6.37,4.38
2119,1.02,Fair,J,SI2,65,59,3119,6.34,6.24,4.08
2120,0.91,Fair,E,SI2,64.5,60,3119,6.04,5.96,3.87
2178,1,Fair,E,SI2,66.6,59,3136,6.07,6.01,4.02
2183,1,Fair,E,SI2,67,53,3136,6.19,6.13,4.13
2184,1,Fair,E,SI2,67,53,3136,6.19,6.13,4.13
2210,1,Fair,G,SI2,64.6,67,3142,6.25,6.19,4.02
2213,1,Fair,G,SI2,68.3,54,3142,6.21,6.12,4.2
2227,0.9,Fair,G,SI1,65.4,57,3145,6.04,5.95,3.92
2228,0.9,Fair,G,SI1,65.6,56,3145,6.1,6.03,3.98
2229,0.9,Fair,G,SI1,65.4,59,3145,6.04,6,3.94
2230,0.9,Fair,H,SI1,66.8,55,3145,5.98,5.9,3.97
2243,1,Fair,F,SI2,65.5,56,3146,6.3,6.19,4.09
2250,1.03,Fair,J,SI2,64.6,62,3149,6.3,6.21,4.06
2273,0.95,Fair,J,SI1,58,66,3154,6.5,6.46,3.76
2293,0.9,Fair,F,SI1,66,57,3160,6.06,6,3.98
2309,1,Fair,H,SI2,63.7,54,3164,6.42,6.27,4.06
2314,0.87,Fair,I,VS2,57.3,59,3166,6.29,6.44,3.65
2323,1.01,Fair,H,SI2,64.5,54,3167,6.26,6.15,4
2337,1.09,Fair,F,SI2,66.3,56,3170,6.47,6.39,4.27
2352,0.84,Fair,F,VS2,65,57.2,3172,5.83,5.87,3.81
2353,0.93,Fair,G,SI2,66.1,58.1,3172,6,6.04,3.98
2357,1.01,Fair,G,SI2,68.5,63,3173,6.08,6,4.14
2366,1,Fair,J,SI1,65.3,57,3175,6.33,6.12,4.08
2367,1.5,Fair,H,I1,69.3,61,3175,6.99,6.81,4.78
2419,0.91,Fair,H,SI1,64.4,60,3180,6.1,6.07,3.92
2420,0.91,Fair,H,SI1,64.8,57,3180,6.12,6.07,3.95
2444,0.9,Fair,E,SI2,57.5,68,3187,6.37,6.33,3.65
2461,1.01,Fair,J,VS2,65.8,55,3190,6.29,6.24,4.12
2477,1,Fair,H,SI2,64.4,57,3192,6.35,6.29,4.07
2498,1.01,Fair,F,SI1,66.1,60,3197,6.15,6.13,4.06
2505,1,Fair,J,SI2,56.3,64,3199,6.58,6.54,3.69
2532,0.71,Fair,F,IF,58.7,62,3205,5.87,5.81,3.43
2534,0.9,Fair,D,SI2,65.9,59,3205,6,5.95,3.94
2535,0.9,Fair,D,SI2,66,58,3205,6,5.97,3.95
2536,0.9,Fair,D,SI2,64.7,54,3205,6.1,6.04,3.93
2537,0.9,Fair,D,SI2,65.7,60,3205,5.98,5.93,3.91
2538,0.9,Fair,D,SI2,64.7,59,3205,6.09,5.99,3.91
2568,0.91,Fair,F,SI2,64.9,56,3210,6.08,6.05,3.94
2584,0.96,Fair,I,VS2,56.1,60,3215,6.62,6.58,3.7
2626,0.9,Fair,H,VS2,65.5,57,3226,6.05,6.01,3.95
2699,1.03,Fair,J,SI2,56.2,62,3246,6.73,6.69,3.77
2700,0.9,Fair,I,VS2,65.4,60,3246,6.03,5.96,3.93
2712,0.25,Fair,D,VS1,61.2,55,563,4.09,4.11,2.51
2746,1,Fair,H,SI2,66.5,62,3248,6.19,6.1,4.09
2758,0.9,Fair,G,SI1,65.2,59,3250,6.05,6.01,3.93
2793,0.93,Fair,I,VS2,64.7,58,3258,6.09,6.06,3.93
2817,1,Fair,I,VS2,65.7,58,3265,6.25,6.2,4.09
2820,1,Fair,F,SI2,65.1,55,3265,6.26,6.23,4.07
2821,1,Fair,F,SI2,65.1,55,3265,6.26,6.23,4.07
2874,0.9,Fair,E,VS1,67.6,56,3276,5.94,5.9,4
2883,0.91,Fair,H,SI1,65.3,62,3278,6.11,6.01,3.96
2885,1.01,Fair,I,SI1,65.5,58,3280,6.28,6.24,4.1
2891,0.9,Fair,H,SI1,61.4,61,3282,6.08,6.14,3.75
2894,0.92,Fair,F,SI2,65.3,58,3282,6.08,6.04,3.96
2898,0.92,Fair,F,SI2,65.1,58,3282,6.12,6.07,3.97
2914,0.94,Fair,H,SI1,68.4,53,3285,6.05,5.97,4.11
2927,0.9,Fair,I,VVS2,60.9,66,3288,6.1,6.12,3.72
2935,1.02,Fair,I,SI2,66.2,57,3290,6.34,6.26,4.17
2949,1.01,Fair,E,SI2,64.6,59,3294,6.22,6.18,4.01
2960,0.7,Fair,D,VVS2,58.5,62,3296,5.72,5.81,3.37
2982,0.96,Fair,G,SI1,69.7,59,3299,6.09,5.9,4.18
2992,1.08,Fair,J,SI2,64.9,60,3302,6.46,6.32,4.15
3009,1,Fair,D,SI2,64.8,60,3304,6.23,6.18,4.02
3010,1,Fair,G,SI1,65.8,55,3304,6.22,6.19,4.08
3112,0.81,Fair,G,VVS2,64.8,56.2,3323,5.82,5.98,3.82
3116,0.92,Fair,F,SI1,66,57,3323,6.04,5.99,3.97
3127,0.9,Fair,F,SI1,65.3,61,3326,6,5.95,3.9
3149,0.9,Fair,E,SI1,65,61,3332,6.05,6.02,3.92
3152,0.98,Fair,G,SI2,66.6,56,3332,6.12,6.02,4.04
3171,0.99,Fair,I,SI1,60.7,66,3337,6.42,6.34,3.87
3191,0.9,Fair,E,SI2,64.5,57,3342,6.13,6.09,3.94
3215,1,Fair,I,SI2,65.8,58,3348,6.23,6.27,4.11
3239,0.94,Fair,H,SI2,66,50.1,3353,6.13,6.17,4.06
3261,0.93,Fair,G,SI1,64.4,57,3358,6.14,6.09,3.94
3328,0.9,Fair,H,VS2,65.6,55,3375,6.01,5.97,3.93
3421,0.9,Fair,D,SI1,66.4,59,3382,5.97,5.92,3.95
3428,0.95,Fair,D,SI2,64.4,60,3384,6.06,6.02,3.89
3442,0.9,Fair,H,SI1,65.4,56,3387,6.11,6.04,3.97
3443,0.9,Fair,I,VS1,65.2,60,3387,6,5.96,3.9
3447,1,Fair,F,SI1,68.7,55,3387,6.06,5.88,4.11
3511,1.14,Fair,J,SI2,64.4,55,3403,6.56,6.54,4.22
3529,0.92,Fair,E,SI1,65.6,57,3407,6.1,6.07,3.99
3565,0.86,Fair,G,VS2,66.5,54.1,3418,5.89,5.97,3.94
3589,1,Fair,J,VS2,65.3,61,3422,6.33,6.13,4.03
3606,1,Fair,J,SI1,64.9,58,3427,6.29,6.23,4.06
3647,0.9,Fair,F,SI1,65.1,56,3437,6.08,6.05,3.95
3665,1,Fair,F,SI2,65.7,61,3443,6.13,6.11,4.02
3666,1.09,Fair,J,VS2,64.6,58,3443,6.48,6.41,4.16
3778,1.01,Fair,G,SI2,65.1,58,3461,6.29,6.21,4.07
3837,1,Fair,H,SI2,66.1,59,3472,6.18,6.13,4.07
3840,0.9,Fair,D,SI2,64.9,57,3473,6.03,5.98,3.9
3842,0.9,Fair,D,SI2,64.5,61,3473,6.1,6,3.9
3851,1.01,Fair,F,SI2,64.8,55,3477,6.37,6.26,4.1
3878,1.01,Fair,H,SI1,64.4,59,3482,6.22,6.17,3.99
3940,0.9,Fair,H,VS1,65.9,60,3500,5.99,5.96,3.94
3956,1.52,Fair,H,I1,64.9,58,3504,7.18,7.13,4.65
3971,0.9,Fair,E,SI1,65.5,59,3508,6.06,6.03,3.96
3981,1,Fair,H,SI1,65.5,57,3511,6.26,6.21,4.08
3982,1,Fair,H,SI1,65.5,57,3511,6.26,6.21,4.08
4048,1.03,Fair,G,SI2,65.7,58,3530,6.32,6.26,4.13
4050,1.03,Fair,I,SI2,65.2,56,3530,6.42,6.35,4.16
4087,0.96,Fair,E,SI2,65.6,58,3533,6.11,6.15,4.02
4106,0.92,Fair,H,SI2,64.5,60,3536,6.06,6.01,3.89
4112,0.9,Fair,H,VS2,64.8,58,3538,6.07,6.03,3.92
4114,0.9,Fair,H,VS2,64.6,55,3538,6.07,6,3.9
4125,1.01,Fair,F,SI2,64.6,59,3540,6.19,6.25,4.2
4127,1,Fair,G,SI2,64.7,58,3541,6.24,6.19,4.02
4145,1.07,Fair,G,SI2,66.8,57,3545,6.34,6.26,4.21
4152,1.01,Fair,H,SI1,66.4,57,3546,6.12,6.08,4.05
4208,1.04,Fair,G,SI2,66.1,60,3564,6.32,6.23,4.15
4239,1,Fair,E,SI2,65.1,59,3575,6.3,6.23,4.08
4274,0.98,Fair,H,SI1,68.6,58,3583,6.18,6.04,4.19
4282,1,Fair,I,SI1,64.8,59,3584,6.23,6.14,4.01
4308,0.99,Fair,H,VS2,71.6,57,3593,5.94,5.8,4.2
4323,1.01,Fair,F,SI2,60.1,66,3597,6.44,6.41,3.86
4326,1.01,Fair,I,VS2,68.7,58,3597,6.14,6,4.19
4327,1.01,Fair,F,SI2,67.3,62,3597,6.09,6.03,4.08
4328,1.01,Fair,F,SI2,66.7,64,3597,6.14,6.05,4.06
4425,0.9,Fair,F,SI2,64.6,56,3613,6.01,6.07,3.9
4433,1.05,Fair,F,SI2,66,60,3615,6.3,6.22,4.13
4443,1.03,Fair,H,SI1,65.1,57,3617,6.43,6.36,4.16
4473,0.98,Fair,F,SI1,61.8,66,3622,6.38,6.27,3.91
4497,0.9,Fair,G,SI1,64.5,57,3629,6.07,6.03,3.9
4506,1,Fair,G,SI1,67.7,57,3631,6,6.15,4.11
4512,1.06,Fair,G,SI2,65.3,62,3633,6.33,6.25,4.11
4513,1.02,Fair,F,SI2,66.6,58,3633,6.21,6.14,4.11
4517,1,Fair,D,SI2,65.2,56,3634,6.27,6.21,4.07
4519,1,Fair,G,SI1,43,59,3634,6.32,6.27,3.97
4538,1,Fair,H,SI2,65.1,58,3640,6.27,6.15,4.05
4602,0.96,Fair,H,VS2,68.8,56,3658,6.11,5.98,4.16
4655,1,Fair,F,SI1,66.7,57,3669,6.07,5.99,4.02
4659,1.12,Fair,I,SI2,64.6,57,3669,6.5,6.47,4.19
4669,1.01,Fair,G,SI1,66.1,56,3671,6.26,6.2,4.12
4685,0.96,Fair,E,SI2,57.7,67,3674,6.49,6.46,3.73
4696,1.01,Fair,H,VS1,67.1,59,3676,6.16,6.09,4.11
4757,0.96,Fair,F,SI2,65.2,58,3688,6.14,6.12,3.99
4762,0.9,Fair,D,SI1,64.8,59,3689,6.1,6.03,3.93
4763,0.9,Fair,D,SI1,64.5,61,3689,6.05,6.01,3.89
4780,1.23,Fair,E,I1,67.4,56,3692,6.76,6.56,4.49
4789,1,Fair,E,SI1,66.5,55,3696,6.21,6.19,4.12
4796,1.2,Fair,H,SI2,65.6,57,3696,6.73,6.57,4.36
4801,0.9,Fair,H,VS2,64.7,58,3697,5.98,6.01,3.88
4808,1,Fair,G,SI1,66.1,62,3700,6.1,6.03,4.01
4920,0.9,Fair,H,VS2,64.6,54,3725,6.09,6.14,3.95
4933,0.91,Fair,D,SI1,64.7,61,3730,6.06,5.99,3.9
4934,0.91,Fair,D,SI1,65.2,57,3730,6.08,6.04,3.95
4937,1.11,Fair,H,SI2,64.4,58,3730,6.55,6.5,4.2
4954,1.01,Fair,H,VS2,65.2,56,3733,6.23,6.19,4.05
4971,1.51,Fair,F,I1,67.8,59,3734,7.09,7,4.78
4972,1.51,Fair,F,I1,67.5,56,3734,7.17,7.05,4.8
4989,1,Fair,F,SI2,65.1,60,3740,6.19,6.1,4
5006,0.9,Fair,E,SI1,64.9,56,3743,6.12,6.18,3.99
5007,1.03,Fair,D,SI2,66.4,56,3743,6.31,6.19,4.15
5015,1.52,Fair,I,I1,67.7,58,3745,7.07,7,4.76
5034,1.03,Fair,H,SI2,66.3,57,3749,6.35,6.25,4.18
5073,0.9,Fair,F,VS1,65.7,59,3750,5.96,5.92,3.9
5075,0.9,Fair,F,VS2,65.7,57,3750,6.03,5.99,3.95
5077,0.93,Fair,H,SI1,64.6,58,3750,6.13,6.07,3.94
5082,0.9,Fair,D,SI1,65.7,65,3751,6.06,5.94,3.94
5090,1.02,Fair,F,SI2,65.5,59,3754,6.27,6.24,4.1
5102,0.86,Fair,G,VS1,64.6,58.8,3756,5.95,6.04,3.87
5131,1,Fair,E,SI2,64.6,54,3763,6.33,6.27,4.07
5133,1,Fair,I,VS1,65.3,55,3763,6.34,6.25,4.11
5140,1,Fair,E,SI2,69,56,3763,6.01,5.94,4.12
5143,1.22,Fair,G,SI2,64.7,61,3763,6.75,6.68,4.34
5146,1.51,Fair,H,I1,65.6,61,3765,7.16,7,4.66
5147,1.03,Fair,G,SI2,65.6,58,3765,6.3,6.26,4.12
5152,1,Fair,D,SI2,65.6,66,3767,6.1,6.01,3.97
5208,1,Fair,J,SI1,64.7,52,3780,6.35,6.3,4.09
5216,1.04,Fair,D,SI2,65.8,58,3780,6.32,6.25,4.13
5238,0.9,Fair,F,SI2,62.6,58,3787,6.01,6.06,3.78
5239,1.02,Fair,G,SI2,65.3,58,3787,6.33,6.22,4.1
5300,1.01,Fair,E,SI2,60,60,3801,6.48,6.38,3.86
5302,1.01,Fair,I,VS1,64.9,56,3801,6.29,6.2,4.07
5305,1.02,Fair,I,SI2,65.5,57,3802,6.19,6.24,4.07
5324,0.9,Fair,G,VS1,65.7,58,3806,6.02,5.97,3.94
5350,0.9,Fair,D,SI1,60.4,61,3812,6.24,6.22,3.76
5354,0.73,Fair,E,VVS2,57.4,59,3813,5.99,5.95,3.43
5359,1.05,Fair,D,SI2,65.4,59,3816,6.3,6.24,4.1
5363,1.01,Fair,G,SI2,58.7,67,3816,6.52,6.56,3.84
5364,1.01,Fair,G,SI2,59.8,66,3816,6.42,6.48,3.86
5366,0.91,Fair,H,SI1,64.7,56,3816,6.1,6.07,3.94
5408,1,Fair,H,VS2,64.8,55,3819,6.35,6.28,4.09
5447,1,Fair,H,SI1,55.2,64,3830,6.69,6.64,3.68
5461,1,Fair,G,SI1,68.2,60,3833,6.02,5.94,4.08
5462,1.17,Fair,I,SI2,59.2,68,3833,6.91,6.84,4.07
5463,1,Fair,G,SI1,68.9,56,3833,6.16,6.11,4.23
5470,0.91,Fair,F,VS2,66.8,58,3837,5.95,5.97,3.98
5471,1.01,Fair,F,SI2,65.2,57,3837,6.33,6.24,4.1
5476,1.02,Fair,E,SI2,65.3,59,3838,6.28,6.22,4.08
5510,0.9,Fair,D,SI2,64.6,59,3847,6.04,6.01,3.89
5540,0.91,Fair,D,SI1,64.4,60,3855,6.08,6.04,3.9
5544,1.01,Fair,G,SI2,64.7,58,3856,6.14,6.23,4
5571,1.08,Fair,E,SI2,64.9,60,3861,6.43,6.39,4.16
5576,1.21,Fair,H,SI1,69.6,55,3862,6.49,6.42,4.49
5577,1.21,Fair,H,SI2,65.6,56,3862,6.69,6.59,4.36
5586,1,Fair,F,SI2,65.5,54,3864,6.2,6.16,4.05
5595,1.01,Fair,H,SI1,64.5,59,3869,6.27,6.23,4.03
5596,1.01,Fair,H,SI1,65.3,61,3869,6.23,6.18,4.05
5606,1.01,Fair,D,SI2,64.7,57,3871,6.31,6.27,4.07
5621,0.9,Fair,E,VS2,65.2,61,3875,6.01,5.98,3.91
5624,1.03,Fair,E,SI2,65.3,59,3876,6.3,6.25,4.1
5653,1.26,Fair,H,SI2,64.9,60,3881,6.7,6.62,4.32
5686,1.01,Fair,J,VS2,59.6,62,3886,6.54,6.49,3.88
5699,1,Fair,E,SI2,56.9,63,3889,6.54,6.49,3.71
5737,1.1,Fair,E,SI1,65.5,57,3891,6.45,6.37,4.2
5740,1.03,Fair,I,SI1,57.4,61,3892,6.67,6.71,3.84
5776,1.18,Fair,D,SI2,57,66,3899,6.96,6.91,3.98
5827,1.01,Fair,E,SI2,57.9,57,3916,6.51,6.55,3.78
5846,1,Fair,I,SI1,56.4,61,3920,6.58,6.55,3.7
5858,0.51,Fair,F,VVS2,65.4,60,3920,4.98,4.9,3.23
5870,0.92,Fair,H,VS1,56,60,3924,6.53,6.51,3.65
5891,0.9,Fair,F,VS2,64.7,54,3931,6.09,6.03,3.92
5895,0.9,Fair,D,VS2,57.5,66,3931,6.3,6.25,3.61
5935,0.9,Fair,D,SI1,66.1,55,3945,5.98,5.92,3.93
5980,1,Fair,I,VS1,64,49,3951,6.43,6.39,4.1
6021,1,Fair,G,SI1,68.3,61,3965,6.02,5.93,4.08
6026,1,Fair,G,SI1,65.2,62,3965,6.19,6.08,4.01
6030,1,Fair,D,SI2,65,56,3965,6.27,6.23,4.06
6061,1,Fair,D,SI2,66.5,59,3965,6.24,6.21,4.14
6087,1.02,Fair,H,SI1,64.6,55,3972,6.33,6.28,4.07
6098,1,Fair,F,SI2,59.3,66,3975,6.44,6.51,3.84
6118,1.08,Fair,J,VS2,65.1,54,3980,6.47,6.44,4.2
6126,1.21,Fair,J,SI2,64.6,59,3984,6.74,6.64,4.32
6157,1.25,Fair,H,SI2,64.4,58,3990,6.82,6.71,4.36
6163,1.01,Fair,E,SI2,56.8,66,3991,6.63,6.58,3.75
6166,1.01,Fair,F,SI1,66.8,60,3991,6.21,6.13,4.12
6171,0.9,Fair,F,VS2,58.9,67,3992,6.18,6.17,3.64
6231,1.01,Fair,G,SI1,64.2,59,4004,6.31,6.28,4.04
6341,1,Fair,E,SI2,57.3,62,4032,6.54,6.59,3.76
6342,1,Fair,G,VS2,44,53,4032,6.31,6.24,4.12
6359,1,Fair,F,SI2,59,67,4036,6.48,6.41,3.8
6402,1.03,Fair,H,SI2,67,61,4038,6.25,6.17,4.16
6413,0.74,Fair,D,VVS2,65.4,53,4040,5.73,5.71,3.74
6430,1.01,Fair,H,VS1,66.1,55,4044,6.28,6.24,4.14
6434,1.02,Fair,G,SI1,64.5,56,4044,6.3,6.23,4.04
6435,1.2,Fair,G,SI2,65.5,59,4044,6.73,6.53,4.34
6447,1.01,Fair,G,SI2,58.3,62,4047,6.46,6.5,3.78
6466,0.94,Fair,F,SI1,56.8,67,4053,6.56,6.44,3.69
6479,1.11,Fair,J,SI2,64.8,55.1,4056,6.44,6.55,4.21
6482,0.9,Fair,E,VS2,65,55,4057,6.11,6.04,3.95
6484,1.24,Fair,G,SI2,65.7,57,4058,6.72,6.68,4.4
6503,0.97,Fair,F,SI1,56.4,66,4063,6.59,6.54,3.7
6549,1.01,Fair,G,VS2,65.7,54,4072,6.32,6.28,4.14
6579,1,Fair,E,SI2,64.6,60,4077,6.23,6.18,4.01
6678,1.22,Fair,I,SI1,66.2,60,4099,6.61,6.56,4.36
6741,0.31,Fair,E,SI1,56.9,66,579,4.53,4.47,2.56
6752,1.01,Fair,G,SI1,66.9,56,4102,6.15,6.22,4.14
6765,1.01,Fair,E,SI1,65.6,59,4106,6.22,6.18,4.07
6768,0.91,Fair,D,VS2,65.7,56,4107,6.1,6.05,3.99
6769,0.91,Fair,D,VS2,65.7,58,4107,6.04,5.99,3.95
